work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
93	Secular works for five voices	Dolcissimo sospiro	string_quartet_plus_viole	data/cpdl/5-voices/sources/093_dolcissimo_sospiro__01_gesualdo_dolcissimo_sospiro.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/093_dolcissimo_sospiro.musicxml	2	ok	
95	Secular works for five voices	Ecco, morirò dunque	string_quartet_plus_viole	data/cpdl/5-voices/sources/095_ecco_moriro_dunque__02_ecco_moriro_dunque_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/095_ecco_morir_dunque.musicxml	0	ok	
96	Secular works for five voices	Felice primavera	string_quartet_plus_viole	data/cpdl/5-voices/sources/096_felice_primavera__02_gesualdo_felice_primavera.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/096_felice_primavera.musicxml	2	ok	
97	Secular works for five voices	Felicissimo sonno	string_quartet_plus_viole	data/cpdl/5-voices/sources/097_felicissimo_sonno__02_gesu_7fel.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/097_felicissimo_sonno.musicxml	5	ok	
98	Secular works for five voices	Gelo ha madonna il seno	string_quartet_plus_viole	data/cpdl/5-voices/sources/098_gelo_ha_madonna_il_seno__01_gesualdo_gelo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/098_gelo_ha_madonna_il_seno.musicxml	7	ok	
99	Secular works for five voices	Gioite voi col canto	string_quartet_plus_viole	data/cpdl/5-voices/sources/099_gioite_voi_col_canto__02_gioite_voi_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/099_gioite_voi_col_canto.musicxml	0	ok	
100	Secular works for five voices	Già piansi nel dolore	string_quartet_plus_viole	data/cpdl/5-voices/sources/100_gia_piansi_nel_dolore__02_gia_piansi_nel_dolore_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/100_gi_piansi_nel_dolore.musicxml	2	ok	
101	Secular works for five voices	Hai rotto e sciolto e spento	string_quartet_plus_viole	data/cpdl/5-voices/sources/101_hai_rotto_e_sciolto_e_spento__02_hai_rotto_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/101_hai_rotto_e_sciolto_e_spento.musicxml	4	ok	
102	Secular works for five voices	In più leggiadro velo	string_quartet_plus_viole	data/cpdl/5-voices/sources/102_in_piu_leggiadro_velo__01_gesualdo_in_piu_leggiadro_velo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/102_in_pi_leggiadro_velo.musicxml	0	ok	
103	Secular works for five voices	Io parto, e non più dissi	string_quartet_plus_viole	data/cpdl/5-voices/sources/103_io_parto_e_non_piu_dissi__02_io_parto_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/103_io_parto_e_non_pi_dissi.musicxml	4	ok	
